Sample Date,Station,Latitude,Longitude,Sample Type,Sediment Depth (cm),P. bahamense cyst abundance (cysts/g wet sediment),P. bahamense cyst abundance (cysts/cm3 sediment),Cyst Count Analysis,Publication
03/24/2015,PCS66,27.92775495,-82.63975526,EPCHC Young-Modified Van Veen Grab,Surface grab,471,820,FWC,BASIS 6 Proceedings (Karlen et al. 2016) https://drive.google.com/file/d/1yHd2U9zNtU9LIU2fCcCM_S8-svoQwouZ/view
03/24/2015,PCS42,27.95282459,-82.64153803,EPCHC Young-Modified Van Veen Grab,Surface grab,1255,2310,FWC,BASIS 6 Proceedings (Karlen et al. 2016) https://drive.google.com/file/d/1yHd2U9zNtU9LIU2fCcCM_S8-svoQwouZ/view
03/24/2015,PCS65,27.94557625,-82.69434558,EPCHC Young-Modified Van Veen Grab,Surface grab,176,300,FWC,BASIS 6 Proceedings (Karlen et al. 2016) https://drive.google.com/file/d/1yHd2U9zNtU9LIU2fCcCM_S8-svoQwouZ/view
03/24/2015,PCS02,27.94733285,-82.70863193,EPCHC Young-Modified Van Veen Grab,Surface grab,6364,5900,FWC,BASIS 6 Proceedings (Karlen et al. 2016) https://drive.google.com/file/d/1yHd2U9zNtU9LIU2fCcCM_S8-svoQwouZ/view
03/24/2015,PCS64,27.97946336,-82.68329304,EPCHC Young-Modified Van Veen Grab,Surface grab,46,80,FWC,BASIS 6 Proceedings (Karlen et al. 2016) https://drive.google.com/file/d/1yHd2U9zNtU9LIU2fCcCM_S8-svoQwouZ/view
03/24/2015,PCS01,28.02004124,-82.67675806,EPCHC Young-Modified Van Veen Grab,Surface grab,794,860,FWC,BASIS 6 Proceedings (Karlen et al. 2016) https://drive.google.com/file/d/1yHd2U9zNtU9LIU2fCcCM_S8-svoQwouZ/view
03/24/2015,PCS46,27.99054594,-82.65940232,EPCHC Young-Modified Van Veen Grab,Surface grab,982,1820,FWC,BASIS 6 Proceedings (Karlen et al. 2016) https://drive.google.com/file/d/1yHd2U9zNtU9LIU2fCcCM_S8-svoQwouZ/view
03/24/2015,PCS60,27.98991039,-82.63146044,EPCHC Young-Modified Van Veen Grab,Surface grab,51,90,FWC,BASIS 6 Proceedings (Karlen et al. 2016) https://drive.google.com/file/d/1yHd2U9zNtU9LIU2fCcCM_S8-svoQwouZ/view
03/24/2015,PCS47,27.97265966,-82.6204389,EPCHC Young-Modified Van Veen Grab,Surface grab,76,130,FWC,BASIS 6 Proceedings (Karlen et al. 2016) https://drive.google.com/file/d/1yHd2U9zNtU9LIU2fCcCM_S8-svoQwouZ/view
03/24/2015,PCS61,27.9688148,-82.56205428,EPCHC Young-Modified Van Veen Grab,Surface grab,36,40,FWC,BASIS 6 Proceedings (Karlen et al. 2016) https://drive.google.com/file/d/1yHd2U9zNtU9LIU2fCcCM_S8-svoQwouZ/view
