Incubation Temperature (degC),Replicate,Date,Days after Isolation,Total Cysts Isolated Day 0,New Germ,Total Germinated,Total dead cysts,Percent germinated (of total cysts),Percent germinated (of viable cysts)
20,A,06/03/2025,1,50,0,0,0,0,0
20,A,06/04/2025,2,50,0,0,0,0,0
20,A,06/05/2025,3,50,0,0,1,0,0
20,A,06/06/2025,4,50,0,0,7,0,0
20,A,06/07/2025,5,50,0,0,7,0,0
20,A,06/08/2025,6,50,0,0,13,0,0
20,A,06/09/2025,7,50,0,0,15,0,0
20,A,06/10/2025,8,50,0,0,15,0,0
20,A,06/11/2025,9,50,0,0,24,0,0
20,A,06/12/2025,10,50,1,1,26,0.02,0.05
20,A,06/13/2025,11,50,0,1,29,0.02,0.05
20,A,06/14/2025,12,50,0,1,30,0.02,0.05
20,A,06/15/2025,13,50,0,1,30,0.02,0.05
20,A,06/16/2025,14,50,0,1,30,0.02,0.05
20,B,06/04/2025,1,53,0,0,1,0,0
20,B,06/05/2025,2,53,0,0,2,0,0
20,B,06/06/2025,3,53,0,0,2,0,0
20,B,06/07/2025,4,53,0,0,2,0,0
20,B,06/08/2025,5,53,0,0,10,0,0
20,B,06/09/2025,6,53,0,0,12,0,0
20,B,06/10/2025,7,53,0,0,16,0,0
20,B,06/11/2025,8,53,0,0,21,0,0
20,B,06/12/2025,9,53,0,0,24,0,0
20,B,06/13/2025,10,53,0,0,25,0,0
20,B,06/14/2025,11,53,0,0,26,0,0
20,B,06/15/2025,12,53,1,1,26,0.018867925,0.041666667
20,B,06/16/2025,13,53,1,2,27,0.037735849,0.083333333
20,B,06/17/2025,14,53,1,3,29,0.056603774,0.125
20,C,06/05/2025,1,53,0,0,0,0,0
20,C,06/06/2025,2,53,0,0,0,0,0
20,C,06/07/2025,3,53,0,0,0,0,0
20,C,06/08/2025,4,53,0,0,3,0,0
20,C,06/09/2025,5,53,0,0,4,0,0
20,C,06/10/2025,6,53,0,0,4,0,0
20,C,06/11/2025,7,53,0,0,7,0,0
20,C,06/12/2025,8,53,0,0,9,0,0
20,C,06/13/2025,9,53,0,0,10,0,0
20,C,06/14/2025,10,53,0,0,17,0,0
20,C,06/15/2025,11,53,2,2,20,0.037735849,0.064516129
20,C,06/16/2025,12,53,0,2,20,0.037735849,0.064516129
20,C,06/17/2025,13,53,2,4,21,0.075471698,0.129032258
20,C,06/18/2025,14,53,0,4,22,0.075471698,0.129032258
23,A,06/03/2025,1,52,0,0,0,0,0
23,A,06/04/2025,2,52,0,0,0,0,0
23,A,06/05/2025,3,52,0,0,0,0,0
23,A,06/06/2025,4,52,0,0,5,0,0
23,A,06/07/2025,5,52,0,0,5,0,0
23,A,06/08/2025,6,52,0,0,13,0,0
23,A,06/09/2025,7,52,0,0,15,0,0
23,A,06/10/2025,8,52,4,4,16,0.076923077,0.173913043
23,A,06/11/2025,9,52,1,5,25,0.096153846,0.217391304
23,A,06/12/2025,10,52,1,6,27,0.115384615,0.260869565
23,A,06/13/2025,11,52,4,10,27,0.192307692,0.434782609
23,A,06/14/2025,12,52,4,14,27,0.269230769,0.608695652
23,A,06/15/2025,13,52,3,17,28,0.326923077,0.739130435
23,A,06/16/2025,14,52,1,18,29,0.346153846,0.692307692
23,B,06/04/2025,1,52,0,0,0,0,0
23,B,06/05/2025,2,52,0,0,0,0,0
23,B,06/06/2025,3,52,0,0,0,0,0
23,B,06/07/2025,4,52,0,0,0,0,0
23,B,06/08/2025,5,52,0,0,10,0,0
23,B,06/09/2025,6,52,1,1,15,0.019230769,0.038461538
23,B,06/10/2025,7,52,0,1,16,0.019230769,0.038461538
23,B,06/11/2025,8,52,5,6,20,0.115384615,0.230769231
23,B,06/12/2025,9,52,2,8,23,0.153846154,0.307692308
23,B,06/13/2025,10,52,6,14,25,0.269230769,0.538461538
23,B,06/14/2025,11,52,3,17,26,0.326923077,0.653846154
23,B,06/15/2025,12,52,3,20,26,0.384615385,0.769230769
